# name-stuff given names
# format: name|gender|frequency|tags
#
Jean|M|11|11
Marie|F|11|11
Maria|F|10|10
Pierre|M|10|10
Andre|M|9|9
Anne|U|9|9
Claude|M?|9|9
Fernand|M|9|9
Francois|M|9|9
Guy|M|9|9
Marc|M|9|9
Marcel|M|9|9
Michel|M|9|9
Philippe|M|9|9
Rene|M|9|9
Roger|M|9|9
Alain|M|8|8
Albert|M|8|8
Aloyse|U|8|8
Anna|F|8|8
Antoine|M|8|8
Armand|M|8|8
Bernard|M|8|8
Camille|F?|8|8
Catherine|F|8|8
Charles|M|8|8
Christian|M|8|8
Christiane|F|8|8
Christine|F|8|8
Christophe|M|8|8
Daniel|M|8|8
David|M|8|8
Dominique|U|8|8
Emile|M|8|8
Eric|M|8|8
Fabrice|M|8|8
Francoise|F|8|8
Frederic|M|8|8
Georges|M|8|8
Gerard|M|8|8
Henri|M|8|8
Isabelle|F|8|8
Jacqueline|F|8|8
Jacques|M|8|8
Jan|M|8|8
Jeanne|F|8|8
Josee|F|8|8
Joseph|M|8|8
Josy|F|8|8
Jozef|M|8|8
Laurent|M|8|8
Leon|M|8|8
Luc|M|8|8
Lucien|M|8|8
Martine|F|8|8
Michele|F|8|8
Monique|F|8|8
Nathalie|F|8|8
Nicolas|M|8|8
Nicole|F|8|8
Olivier|M|8|8
Pascal|M|8|8
Patrick|M|8|8
Paul|M|8|8
Raymond|M|8|8
Rita|F|8|8
Robert|M|8|8
Romain|M|8|8
Sandra|F|8|8
Sebastien|M|8|8
Stephane|M?|8|8
Sylvie|F|8|8
Thierry|M|8|8
Valerie|F|8|8
Willy|M|8|8
Alex|U|7|7
Alexandre|M|7|7
Alice|F|7|7
Alphonse|M|7|7
Andree|F|7|7
Ann|F|7|7
Annick|F|7|7
Annie|F|7|7
Aurelie|F|7|7
Bart|M|7|7
Beatrice|F|7|7
Bernadette|F|7|7
Brigitte|F|7|7
Bruno|M|7|7
Carine|F|7|7
Carole|F|7|7
Cecile|F|7|7
Cedric|M|7|7
Celine|F|7|7
Chantal|F|7|7
Christelle|F|7|7
Claire|F|7|7
Claudine|F|7|7
Colette|F|7|7
Corinne|F|7|7
Danielle|F|7|7
Denis|M|7|7
Denise|F|7|7
Didier|M|7|7
Dirk|M|7|7
Eddy|M|7|7
Elisabeth|F|7|7
Ernest|M|7|7
Erny|F|7|7
Eugene|M|7|7
Evelyne|F|7|7
Florence|F|7|7
Francine|F|7|7
Francis|U|7|7
Franck|M|7|7
Frank|M|7|7
Frans|M|7|7
Freddy|M|7|7
Gaston|M|7|7
Geert|M|7|7
Genevieve|F|7|7
Georgette|F|7|7
Gilbert|M|7|7
Gilles|M|7|7
Guillaume|M|7|7
Helene|F|7|7
Henriette|F|7|7
Herve|M|7|7
Hilde|F?|7|7
Ingrid|F|7|7
Irene|F|7|7
Jean-Claude|M|7|7
Jean-Paul|M|7|7
Jean-Pierre|M|7|7
Jeannine|F|7|7
Jeannot|M|7|7
Jerome|M|7|7
Joel|M|7|7
Joelle|F|7|7
Johan|M|7|7
John|M|7|7
Josette|F|7|7
Julien|M|7|7
Laurence|F|7|7
Liliane|F|7|7
Linda|F|7|7
Louis|M|7|7
Louise|F|7|7
Madeleine|F|7|7
Marco|M|7|7
Margot|F|7|7
Marguerite|F|7|7
Marianne|F|7|7
Mariette|F|7|7
Marleen|F|7|7
Maurice|M|7|7
Nadine|F|7|7
Nancy|F|7|7
Norbert|M|7|7
Odette|F|7|7
Patrice|U|7|7
Patricia|F|7|7
Paula|F|7|7
Paulette|F|7|7
Peter|M|7|7
Renee|F|7|7
Roland|M|7|7
Sandrine|F|7|7
Serge|M|7|7
Simone|F|7|7
Simonne|F|7|7
Sophie|F|7|7
Stephanie|F|7|7
Suzanne|F|7|7
Theo|M|7|7
Therese|F|7|7
Veronique|F|7|7
Victor|M|7|7
Vincent|M|7|7
Virginie|F|7|7
Viviane|F|7|7
Yves|M|7|7
Yvette|F|7|7
Yvonne|F|7|7
Agnes|F|6|6
Alexandra|F|6|6
Alfons|M|6|6
Aline|F|6|6
Aly|F|6|6
Angelique|F|6|6
Anita|F|6|6
Anne-Marie|F|6|6
Annette|F|6|6
Anthony|M|6|6
Antoinette|F|6|6
Arlette|F|6|6
Arnaud|M|6|6
Arthur|M|6|6
Astrid|F|6|6
Audrey|F|6|6
Benjamin|M|6|6
Benoit|M|6|6
Carlo|M|6|6
Caroline|F|6|6
Christel|U|6|6
Cindy|F|6|6
Cyril|M|6|6
Damien|M|6|6
Daniele|F|6|6
Danny|M?|6|6
Delphine|F|6|6
Diane|F|6|6
Edmond|M|6|6
Edouard|M|6|6
Eliane|F|6|6
Elise|F|6|6
Elodie|F|6|6
Els|F?|6|6
Emilie|F|6|6
Emmanuel|M|6|6
Emmanuelle|F|6|6
Erik|M|6|6
Etienne|M|6|6
Fabien|M|6|6
Fabienne|F|6|6
Felix|M|6|6
Fernande|F|6|6
Filip|M|6|6
France|F|6|6
Franciscus|M|6|6
Germaine|F|6|6
Ghislaine|F|6|6
Gilberte|F|6|6
Ginette|F|6|6
Gisele|F|6|6
Gregory|M|6|6
Greta|F|6|6
Guido|M|6|6
Gustaaf|M|6|6
Hendrik|M|6|6
Herman|M|6|6
Hilda|F|6|6
Hubert|M|6|6
Hugo|M|6|6
Huguette|F|6|6
Ilse|F|6|6
Inge|U|6|6
Irene|F|6|6
Isabel|F|6|6
Jacky|M|6|6
Jean-Luc|M|6|6
Jean-Marie|M|6|6
Jeanny|F|6|6
Jenny|F|6|6
Jeremy|M|6|6
Jessica|F|6|6
Joanna|F|6|6
Joannes|M|6|6
Jocelyne|F|6|6
Johny|M|6|6
Jose|U|6|6
Josephine|F|6|6
Josiane|F|6|6
Jules|M|6|6
Julia|F|6|6
Julie|F|6|6
Karel|M?|6|6
Karin|F|6|6
Karine|F|6|6
Kevin|M|6|6
Koen|M|6|6
Kris|M?|6|6
Kurt|M|6|6
Laetitia|F|6|6
Laure|F|6|6
Lea|F|6|6
Leonie|F|6|6
Lionel|M|6|6
Loic|M|6|6
Lucie|F|6|6
Lucienne|F|6|6
Ludovic|M|6|6
Magali|F|6|6
Magda|F|6|6
Maggy|F|6|6
Maisy|F|6|6
Manuel|M|6|6
Marcelle|F|6|6
Marina|F|6|6
Mario|M|6|6
Martha|F|6|6
Marthe|F|6|6
Maryse|F|6|6
Mathias|M|6|6
Mathieu|M|6|6
Maxime|M?|6|6
Melanie|F|6|6
Michael|M|6|6
Micheline|F|6|6
Michelle|F|6|6
Mike|M|6|6
Mireille|F|6|6
Muriel|F|6|6
Myriam|F|6|6
Nadia|F|6|6
Nelly|F|6|6
Odile|F|6|6
Pascale|F|6|6
Paule|F|6|6
Petrus|M|6|6
Pierrette|F|6|6
Pieter|M|6|6
Raymonde|F|6|6
Richard|M|6|6
Ronny|M|6|6
Rosa|F|6|6
Rose|F|6|6
Rudi|M|6|6
Rudy|M|6|6
Sabine|F|6|6
Sarah|F|6|6
Severine|F|6|6
Solange|F|6|6
Sonia|F|6|6
Sonja|F|6|6
Steven|M|6|6
Suzette|F|6|6
Sylvain|M|6|6
Thomas|M|6|6
Tom|M|6|6
Veerle|F|6|6
Veronique|F|6|6
Walter|M|6|6
Wim|M|6|6
Xavier|M|6|6
Yannick|U|6|6
Adeline|F|5|5
Adrien|M|5|5
Agnes|F|5|5
Albertine|F|5|5
Alexander|M|5|5
Alexis|M|5|5
Alfred|M|5|5
Amandine|F|5|5
Amelie|F|5|5
An|F|5|5
Anais|F|5|5
Andrea|F|5|5
Andreas|M|5|5
Andy|M|5|5
Angela|F|5|5
Angele|F|5|5
Anja|F|5|5
Anny|F|5|5
Anouk|F|5|5
Antonio|M|5|5
August|M|5|5
Augusta|F|5|5
Aurelien|M|5|5
Aurore|F|5|5
Baptiste|M|5|5
Barbara|F|5|5
Benedicte|F|5|5
Benny|M|5|5
Bert|M|5|5
Bertha|F|5|5
Bertrand|M|5|5
Betty|F|5|5
Blanche|F|5|5
Carina|F|5|5
Catharina|F|5|5
Charlotte|F|5|5
Chloe|F|5|5
Chris|M?|5|5
Christiaan|M|5|5
Christina|F|5|5
Clara|F|5|5
Claudette|F|5|5
Claudia|F|5|5
Clement|M|5|5
Cyrille|U|5|5
Daniela|F|5|5
Dany|F|5|5
Diana|F|5|5
Dimitri|M|5|5
Doris|F|5|5
Edith|F|5|5
Eduard|M|5|5
Elisa|F?|5|5
Elke|U|5|5
Ellen|F|5|5
Emiel|M|5|5
Emma|F|5|5
Erna|F|5|5
Erwin|M|5|5
Estelle|F|5|5
Eugenie|F|5|5
Eva|F|5|5
Eveline|F|5|5
Fanny|F|5|5
Felicie|F|5|5
Florent|M|5|5
Florian|M|5|5
Franky|M|5|5
Frederique|F|5|5
Frieda|F|5|5
Gabriel|M|5|5
Gabrielle|F|5|5
Gaby|F?|5|5
Gaelle|F|5|5
Geraldine|F|5|5
Gerard|M|5|5
Gerda|F|5|5
Gert|M|5|5
Gino|M|5|5
Giovanni|M|5|5
Hans|M|5|5
Heidi|F|5|5
Helena|F|5|5
Helene|F|5|5
Irma|F|5|5
Ivan|M|5|5
Janine|F|5|5
Jeanine|F|5|5
Jeff|M|5|5
Jennifer|F|5|5
Jeroen|M|5|5
Joe|M|5|5
Johanna|F|5|5
Johannes|M|5|5
Johnny|M|5|5
Jonathan|M|5|5
Jorge|M|5|5
Joris|M|5|5
Josephine|F|5|5
Julienne|F|5|5
Juliette|F|5|5
Jurgen|M|5|5
Kathleen|F|5|5
Kim|F?|5|5
Kristel|U|5|5
Kristof|M|5|5
Laura|F|5|5
Leo|M|5|5
Leopold|M|5|5
Lieve|F?|5|5
Lina|F|5|5
Lisette|F|5|5
Lodewijk|M|5|5
Louisa|F|5|5
Lucette|F|5|5
Lucia|F|5|5
