# name-stuff given names
# format: name|gender|frequency|tags
#
Gheorghe|M|11|11
Ivan|M|11|11
Jiri|M|11|11
Maria|F|11|11
Maria|F|11|11
Anna|F|10|10
Constantin|M|10|10
Dimitar|M|10|10
Dragan|M|10|10
Eva|F|10|10
Ferenc|M|10|10
Georgi|M|10|10
Ioan|M|10|10
Ion|M|10|10
Istvan|M|10|10
Jan|M|10|10
Jan|M|10|10
Jana|F|10|10
Janos|M|10|10
Jaroslav|M|10|10
Josef|M|10|10
Josip|M|10|10
Jozef|M|10|10
Jozsef|M|10|10
Katalin|F|10|10
Laszlo|M|10|10
Ljiljana|F|10|10
Marie|F|10|10
Marija|F|10|10
Mariya|F|10|10
Miroslav|M|10|10
Nicolae|M|10|10
Pavel|M|10|10
Peter|M|10|10
Petr|M|10|10
Vaclav|M|10|10
Vasile|M|10|10
Zden<e>k|M|10|10
Agnes|F|9|9
Aida|F|9|9
Aleksandar|M|9|9
Alena|F|9|9
Alenka|F|9|9
Alexandru|M|9|9
Ana|F|9|9
Andrea|F|9|9
Andrej|M|9|9
Ante|M|9|9
Anton|M|9|9
Attila|M|9|9
Biljana|F|9|9
Dumitru|M|9|9
Elena|F|9|9
Erzsebet|F|9|9
Eva|F|9|9
Franc|M|9|9
Gabor|M|9|9
Gordana|F|9|9
Hana|F|9|9
Helena|F|9|9
Hristo|M|9|9
Ildiko|F|9|9
Ilona|F|9|9
Imre|M|9|9
Ioana|F|9|9
Ivanka|F|9|9
Ivica|U|9|9
Janez|M|9|9
Jordan|M|9|9
Jordanka|F|9|9
Judit|F|9|9
Juraj|M|9|9
Karel|M|9|9
Karoly|M|9|9
Katarina|F|9|9
Krisztina|F|9|9
Ladislav|M|9|9
Lajos|M|9|9
Ludmila|F|9|9
Mariana|F|9|9
Marijka|F|9|9
Marika|F|9|9
Mariyka|F|9|9
Marko|M|9|9
Martin|M|9|9
Mihai|M|9|9
Miklos|M|9|9
Milan|M|9|9
Milica|F|9|9
Mircea|M|9|9
Mirjana|F|9|9
Mojca|F|9|9
Nikola|M|9|9
Nikolai|M|9|9
Nikolaj|M|9|9
Nikolay|M|9|9
Pavol|M|9|9
Petar|M|9|9
Peter|M|9|9
Radmila|F|9|9
Sandor|M|9|9
Slobodan|M|9|9
Snezana|F|9|9
Stefan|M|9|9
Stjepan|M|9|9
Stojan|M|9|9
Stoyan|M|9|9
Tamas|M|9|9
Tibor|M|9|9
Todor|M|9|9
V<e>ra|F|9|9
Vera|F|9|9
Vesna|F|9|9
Viera|F|9|9
Vladimir|M|9|9
Vladimir|M|9|9
Zeljko|M|9|9
Zoltan|M|9|9
Zoran|M|9|9
Zsolt|M|9|9
Zsuzsanna|F|9|9
Zuzana|F|9|9
Adnan|M|8|8
Adrian|M|8|8
Aferdita|F|8|8
Alma|F|8|8
Alzbeta|F|8|8
Andras|M|8|8
Andreja|F|8|8
Angel|M|8|8
Ankica|F|8|8
Antonin|M|8|8
Atanas|M|8|8
Aurel|M|8|8
Azra|F|8|8
Barbara|F|8|8
Bela|M|8|8
Blagoja|M|8|8
Bojan|M|8|8
Borut|M|8|8
Bozena|F|8|8
Branislav|M|8|8
Branka|F|8|8
Branko|M|8|8
Cornelia|F|8|8
Cristian|M|8|8
Cristina|F|8|8
Csaba|M|8|8
Dagmar|F|8|8
Damir|M|8|8
Dan|M|8|8
Danica|F|8|8
Daniela|F|8|8
Dejan|M|8|8
Diana|F|8|8
Dimitritchka|F|8|8
Doina|F|8|8
Donka|F|8|8
Dragana|F|8|8
Dragica|F|8|8
Dragoljub|M|8|8
Ecaterina|F|8|8
Edit|F|8|8
Elisabeta|F|8|8
Emilia|F|8|8
Emina|F|8|8
Erika|F|8|8
Eszter|F|8|8
Eugenia|F|8|8
Fatime|F|8|8
Florica|F|8|8
Florin|M|8|8
Franjo|M|8|8
Gabriela|F|8|8
Gabriella|F|8|8
George|M|8|8
Georgeta|F|8|8
Goran|M|8|8
Gregor|M|8|8
Gyorgy|M|8|8
Gyula|M|8|8
Ibolya|F|8|8
Igor|M|8|8
Ileana|F|8|8
Ilija|M|8|8
Iliya|M|8|8
Ilja|M|8|8
Ilya|M|8|8
Irena|F|8|8
Istvanne|F|8|8
Ivana|F|8|8
Iveta|F|8|8
Ivo|M|8|8
Janka|F|8|8
Jarmila|F|8|8
Jaromir|M|8|8
Jaroslava|F|8|8
Jasmina|F|8|8
Jelena|F|8|8
Jirina|F|8|8
Jitka|F|8|8
Jovan|M|8|8
Joze|M|8|8
Jozef|M|8|8
Jozo|M|8|8
Jozsefne|F|8|8
Karol|M|8|8
Kata|F|8|8
Katarina|F|8|8
Katerina|F|8|8
Katica|F|8|8
Klara|F|8|8
Kostadin|M|8|8
Krasimir|M|8|8
Krassimir|M|8|8
Laszlone|F|8|8
Lejla|F|8|8
Lenka|F|8|8
Lidija|F|8|8
Liljana|F|8|8
Ljubica|F|8|8
Ljupco|M|8|8
Lubica|F|8|8
Lubomir|M|8|8
Ludmila|F|8|8
Magdolna|F|8|8
Maja|F|8|8
Mara|F|8|8
Marcela|F|8|8
Margit|F|8|8
Margita|F|8|8
Marian|M|8|8
Marian|M|8|8
Marica|F|8|8
Marijan|M|8|8
Marin|M|8|8
Marjan|M|8|8
Marta|F|8|8
Marta|F|8|8
Martina|F|8|8
Mate|M|8|8
Matej|M|8|8
Mateja|F|8|8
Matjaz|M|8|8
Michal|M|8|8
Mihaela|F|8|8
Mihail|M|8|8
Milena|F|8|8
Milorad|M|8|8
Miloslav|M|8|8
Miodrag|M|8|8
Mirko|M|8|8
Miroslava|F|8|8
Mirsad|M|8|8
Mitko|M|8|8
Mladen|M|8|8
Monika|F|8|8
Muhamed|M|8|8
Nada|F|8|8
Nedjalka|F|8|8
Nedyalka|F|8|8
Nenad|M|8|8
Nevenka|F|8|8
Niculae|M|8|8
Oldrich|M|8|8
Olga|F|8|8
Olga|F|8|8
Olivera|F|8|8
Penka|F|8|8
Petra|F|8|8
Petranka|F|8|8
Petre|M|8|8
Plamen|M|8|8
Predag|M|8|8
Radka|F|8|8
Radu|M|8|8
Robert|M|8|8
Robert|M|8|8
Rodica|F|8|8
Rosica|F|8|8
Rositza|F|8|8
Rudolf|M|8|8
Rumjana|F|8|8
Rumyana|F|8|8
Ruzica|F|8|8
Selma|F|8|8
Slavica|F|8|8
Snezana|F|8|8
Snezhana|F|8|8
Sonja|F|8|8
Stanislav|M|8|8
Stanka|F|8|8
Stefan|M|8|8
Stefka|F|8|8
